  39  -19.81325  -11.96108   -9.81307   -9.81261   -3.35047   -1.11029    4.91154    4.91243    6.70879   11.43594   17.37957   17.38133   19.16159
  40  -19.69569  -12.12779   -9.87088   -9.87043   -3.46244   -1.22220    5.06927    5.07015    6.83715   11.59670   17.51311   17.51489   19.15692
  41  -19.57640  -12.29438   -9.92640   -9.92596   -3.57094   -1.33010    5.22367    5.22454    6.96374   11.75889   17.64546   17.64725   19.14726
  42  -19.45555  -12.46064   -9.97957   -9.97915   -3.67570   -1.43376    5.37432    5.37517    7.08796   11.92190   17.77616   17.77796   19.13319
  43  -19.33336  -12.62629  -10.03035  -10.02993   -3.77643   -1.53303    5.52078    5.52162    7.20925   12.08506   17.90474   17.90653   19.11528
  44  -19.21008  -12.79107  -10.07867  -10.07826   -3.87289   -1.62773    5.66262    5.66345    7.32708   12.24760   18.03067   18.03246   19.09413
  45  -19.08598  -12.95462  -10.12448  -10.12409   -3.96485   -1.71774    5.79940    5.80021    7.44099   12.40873   18.15346   18.15522   19.07030
  46  -18.96139  -13.11659  -10.16774  -10.16736   -4.05209   -1.80292    5.93068    5.93147    7.55049   12.56754   18.27255   18.27429   19.04438
  47  -18.83670  -13.27654  -10.20841  -10.20804   -4.13443   -1.88317    6.05602    6.05679    7.65515   12.72311   18.38742   18.38912   19.01692
  48  -18.71236  -13.43396  -10.24645  -10.24609   -4.21170   -1.95838    6.17498    6.17574    7.75457   12.87444   18.49750   18.49916   18.98849
  49  -18.58892  -13.58826  -10.28183  -10.28147   -4.28375   -2.02845    6.28715    6.28789    7.84833   13.02050   18.60226   18.60385   18.95962
  50  -18.46703  -13.73874  -10.31449  -10.31415   -4.35045   -2.09328    6.39211    6.39283    7.93609   13.16022   18.70114   18.70266   18.93085
  51  -18.34749  -13.88456  -10.34443  -10.34410   -4.41168   -2.15280    6.48946    6.49015    8.01748   13.29251   18.79360   18.79505   18.90269
  52  -18.23123  -14.02474  -10.37160  -10.37128   -4.46735   -2.20692    6.57882    6.57949    8.09218   13.41629   18.87560   18.87911   18.88048
  53  -18.11942  -14.15808  -10.39598  -10.39568   -4.51736   -2.25556    6.65983    6.66048    8.15989   13.53049   18.85004   18.95718   18.95845
  54  -18.01344  -14.28314  -10.41756  -10.41726   -4.56164   -2.29865    6.73215    6.73278    8.22033   13.63408   18.82644   19.02732   19.02848
  55  -17.91494  -14.39826  -10.43629  -10.43600   -4.60014   -2.33613    6.79548    6.79609    8.27324   13.72608   18.80516   19.08909   19.09015
  56  -17.82584  -14.50148  -10.45218  -10.45190   -4.63279   -2.36794    6.84955    6.85014    8.31841   13.80560   18.78656   19.14209   19.14304
  57  -17.74830  -14.59062  -10.46520  -10.46492   -4.65957   -2.39404    6.89413    6.89470    8.35563   13.87183   18.77093   19.18597   19.18681
  58  -17.68462  -14.66333  -10.47534  -10.47507   -4.68042   -2.41438    6.92901    6.92957    8.38476   13.92409   18.75850   19.22042   19.22117
  59  -17.63708  -14.71734  -10.48259  -10.48232   -4.69534   -2.42893    6.95403    6.95459    8.40565   13.96183   18.74949   19.24521   19.24587
  60  -17.60764  -14.75066  -10.48694  -10.48668   -4.70429   -2.43768    6.96909    6.96964    8.41823   13.98463   18.74402   19.26016   19.26076
  61  -17.59767  -14.76193  -10.48839  -10.48813   -4.70728   -2.44059    6.97412    6.97467    8.42242   13.99226   18.74219   19.26515   19.26574
  62  -17.59767  -14.76193  -10.48839  -10.48813   -4.70728   -2.44059    6.97412    6.97467    8.42242   13.99226   18.74219   19.26515   19.26574
  63  -17.59724  -14.76048  -10.49314  -10.49192   -4.69947   -2.43178    6.96437    6.97419    8.41761   13.97715   18.68170   19.27269   19.32292
  64  -17.59595  -14.75612  -10.50731  -10.50319   -4.67614   -2.40541    6.93356    6.97438    8.40308   13.93244   18.54522   19.29486   19.44962
  65  -17.59383  -14.74888  -10.53067  -10.52170   -4.63756   -2.36171    6.88249    6.97468    8.37857   13.85998   18.38088   19.33043   19.59803
  66  -17.59088  -14.73877  -10.56286  -10.54704   -4.58418   -2.30104    6.81160    6.97509    8.34363   13.76263   18.20717   19.37754   19.75021
  67  -17.58714  -14.72585  -10.60337  -10.57866   -4.51660   -2.22387    6.72147    6.97555    8.29769   13.64399   18.03149   19.43396   19.89944
  68  -17.58265  -14.71014  -10.65162  -10.61592   -4.43553   -2.13078    6.61290    6.97602    8.24001   13.50813   17.85772   19.49729   20.04266
  69  -17.57745  -14.69173  -10.70692  -10.65810   -4.34177   -2.02241    6.48681    6.97642    8.16980   13.35934   17.68833   19.56521   20.17827
  70  -17.57159  -14.67067  -10.76854  -10.70445   -4.23622   -1.89947    6.34434    6.97663    8.08621   13.20191   17.52511   19.63560   20.30539
  71  -17.56514  -14.64706  -10.83570  -10.75418   -4.11978   -1.76271    6.18674    6.97644    7.98848   13.03998   17.36937   19.70660   20.42354
  72  -17.55816  -14.62101  -10.90759  -10.80650   -3.99342   -1.61289    6.01543    6.97552    7.87604   12.87738   17.22209   19.77668   20.53254
  73  -17.55073  -14.59264  -10.98340  -10.86065   -3.85811   -1.45075    5.83193    6.97323    7.74878   12.71756   17.08395   19.84460   20.63242
  74  -17.54292  -14.56210  -11.06233  -10.91590   -3.71485   -1.27706    5.63788    6.96823    7.60751   12.56346   16.95538   19.90944   20.72335
  75  -17.53483  -14.52957  -11.14356  -10.97155   -3.56464   -1.09255    5.43499    6.95735    7.45524   12.41745   16.83658   19.97052   20.80563
